"","drugs","rank.inact","rank.act","score"
"142","GSK525762A",124,108,32.5385694249649
"150","PIPERLONGUMINE:MST-312 (1:1 MOL/MOL)",170,62,32.5385694249649
"173","PF-184",93,139,32.5385694249649
"38","TANESPIMYCIN",212,22,32.8190743338008
"240","AZD6482",49,186,32.9593267882188
"144","VER-155008",115,122,33.2398316970547
"127","DECITABINE:CARBOPLATIN (1:1 MOL/MOL)",114,124,33.3800841514727
"176","BOSUTINIB",197,44,33.8008415147265
"221","CURCUMIN",29,212,33.8008415147265
"21","BRD8899",220,27,34.6423562412342
"243","VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL)",4,243,34.6423562412342
"120","ETOPOSIDE",184,68,35.343618513324
"235","BRD-K97651142",32,221,35.4838709677419
"268","ETOMOXIR",140,113,35.4838709677419
"153","CARBOPLATIN:ETOPOSIDE (40:17 MOL/MOL)",226,30,35.9046283309958
"273","VALDECOXIB",42,215,36.0448807854137
"148","BMS-754807",146,117,36.8863955119215
"112","PLX-4720",168,98,37.3071528751753
"118","MDIVI-1",65,203,37.5876577840112
"177","VORAPAXAR",44,225,37.7279102384292
"193","BIX-01294",179,92,38.0084151472651
"96","DECITABINE",248,25,38.288920056101
"192","NERATINIB",171,103,38.4291725105189
"218","GSK-3 INHIBITOR IX",243,31,38.4291725105189
"107","JQ-1:NAVITOCLAX (2:1 MOL/MOL)",267,9,38.7096774193548
"266","ML203",1,279,39.2706872370266
"184","PROCHLORPERAZINE",155,129,39.8316970546985
"294","BMS-195614",234,51,39.9719495091164
"2","BRD6340",167,119,40.1122019635344
"267","EPIGALLOCATECHIN-3-MONOGALLATE",2,285,40.2524544179523
"32","GEMCITABINE",106,182,40.3927068723703
"163","FLUOROURACIL",194,94,40.3927068723703
"167","SRT-1720",12,277,40.5329593267882
"265","BRD-K80183349",8,281,40.5329593267882
"229","LINIFANIB",7,283,40.6732117812062
"37","GMX-1778",258,33,40.8134642356241
"140","GDC-0941",127,165,40.9537166900421
"249","KU-55933",157,135,40.9537166900421
"48","TRIPTOLIDE",201,93,41.234221598878
"212","TRIFLUOPERAZINE",59,236,41.3744740532959
"201","JQ-1:UNC0638 (2:1 MOL/MOL)",76,220,41.5147265077139
"258","PX-12",23,273,41.5147265077139
"98","BRD-A02303741:CARBOPLATIN (1:1 MOL/MOL)",294,3,41.6549789621318
"205","NVP-BSK805",164,134,41.7952314165498
"129","ALISERTIB",132,167,41.9354838709677
"256","WZ8040",295,4,41.9354838709677
"287","BRD-K04800985",251,48,41.9354838709677
"263","BRD-K24690302",202,101,42.4964936886396
"206","BRD-K92856060",151,153,42.6367461430575
"29","CR-1-31B",228,77,42.7769985974755
"114","CD-437",299,7,42.9172510518934
"117","XL765",95,216,43.6185133239832
"247","PAZOPANIB",87,224,43.6185133239832
"215","CCT036477",237,75,43.7587657784011
"160","FLUVASTATIN",230,83,43.8990182328191
"1","BRD4132",257,58,44.179523141655
"254","BRD-K13999467",31,286,44.4600280504909
"128","VU0155056",102,217,44.7405329593268
"255","BRD-K88742110",24,296,44.8807854137447
"224","MERCK60",252,69,45.0210378681627
"182","PIFITHRIN-MU",122,202,45.4417952314165
"16","GSK4112",277,49,45.7223001402525
"282","B02",60,266,45.7223001402525
"219","PF-573228",239,88,45.8625525946704
"23","SIROLIMUS",205,125,46.2833099579243
"191","LOVASTATIN",103,227,46.2833099579243
"211","SERDEMETAN",15,316,46.4235624123422
"44","PLURIPOTIN",186,146,46.5638148667602
"56","MK-1775",331,1,46.5638148667602
"103","GDC-0879",191,144,46.984572230014
"131","DACARBAZINE",255,81,47.124824684432
"161","SCH-529074",163,174,47.2650771388499
"197","FINGOLIMOD",67,270,47.2650771388499
"238","CARBOPLATIN:UNC0638 (2:1 MOL/MOL)",80,258,47.4053295932679
"189","KU 0060648",203,137,47.6858345021038
"79","CYTARABINE HYDROCHLORIDE",312,29,47.8260869565217
"162","NVP-ADW742",109,232,47.8260869565217
"121","BRD-A02303741:NAVITOCLAX (2:1 MOL/MOL)",279,63,47.9663394109397
"157","NVP-231",283,59,47.9663394109397
"188","SB-525334",135,210,48.3870967741936
"64","ITRACONAZOLE",241,105,48.5273492286115
"5","NSC30930",147,200,48.6676016830295
"199","PEVONEDISTAT",78,269,48.6676016830295
"242","LOMEGUATRIB",39,308,48.6676016830295
"178","PIPERLONGUMINE",154,194,48.8078541374474
"246","GW-405833",41,307,48.8078541374474
"31","NAVITOCLAX:GEMCITABINE (1:1 MOL/MOL)",209,140,48.9481065918654
"195","NSC632839",208,141,48.9481065918654
"236","MASITINIB",61,288,48.9481065918654
"53","PD318088",286,64,49.0883590462833
"250","SARACATINIB",269,82,49.2286115007013
"264","BRD-K14844214",34,317,49.2286115007013
"285","BIBR-1532",97,255,49.3688639551192
"136","I-BET151",172,184,49.929873772791
"213","PARTHENOLIDE",316,40,49.929873772791
"281","ERASTIN",310,47,50.070126227209
"105","SELUMETINIB:JQ-1 (4:1 MOL/MOL)",113,245,50.2103786816269
"124","MST-312",144,214,50.2103786816269
"237","KW-2449",118,240,50.2103786816269
"234","BRD-K02251932",47,312,50.3506311360449
"248","TG-100-115",81,278,50.3506311360449
"19","AC55649",69,294,50.9116409537167
"110","JQ-1:CARBOPLATIN (1:1 MOL/MOL)",321,43,51.0518934081346
"132","CRIZOTINIB:PLX-4032 (2:1 MOL/MOL)",351,14,51.1921458625526
"203","DBEQ",276,89,51.1921458625526
"270","KO-143",253,112,51.1921458625526
"119","OBATOCLAX",216,151,51.4726507713885
"217","PIK-93",105,263,51.6129032258064
"187","BRD-K29313308",121,252,52.3141654978962
"165","BEXAROTENE",64,310,52.4544179523142
"200","CHM-1",165,211,52.7349228611501
"27","DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL)",361,16,52.875175315568
"209","HLI 373",70,309,53.1556802244039
"260","NUTLIN-3",73,306,53.1556802244039
"204","MK-2206",187,195,53.5764375876578
"7","TEMOZOLOMIDE",265,118,53.7166900420757
"156","TPCA-1",221,162,53.7166900420757
"290","REGORAFENIB",349,34,53.7166900420757
"109","CAY10618",112,274,54.1374474053296
"13","ERISMODEGIB",260,131,54.8387096774194
"272","SKI-II",131,261,54.9789621318373
"69","SELUMETINIB:PIPERLONGUMINE (8:1 MOL/MOL)",320,79,55.960729312763
"66","SB-743921",391,10,56.2412342215989
"179","SB-225002",192,209,56.2412342215989
"73","UNC0321",344,60,56.6619915848527
"42","SR-II-138A",292,114,56.9424964936886
"116","CUCURBITACIN I",246,161,57.0827489481066
"108","NECROSTATIN-7",182,226,57.2230014025245
"190","UNC0638",225,183,57.2230014025245
"67","PRL-3 INHIBITOR I",315,99,58.0645161290323
"88","JQ-1",403,12,58.2047685834502
"81","DOXORUBICIN",284,132,58.3450210378682
"158","NVP-TAE684",293,123,58.3450210378682
"59","AZD7762",378,39,58.4852734922861
"70","MANUMYCIN A",302,116,58.6255259467041
"75","SELUMETINIB:PLX-4032 (8:1 MOL/MOL)",177,241,58.6255259467041
"261","ML239",129,290,58.765778401122
"122","STF-31",215,205,58.90603085554
"40","KX2-391",173,250,59.3267882187938
"58","ML210",384,41,59.6072931276297
"26","SU11274",405,21,59.7475455820477
"230","SUNITINIB",374,55,60.1683029453015
"289","1S,3R-RSL-3",380,52,60.5890603085554
"99","OUABAIN",354,80,60.8695652173913
"115","SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL)",211,223,60.8695652173913
"283","AUSTOCYSTIN D",210,234,62.2720897615708
"291","SPAUTIN-1",278,166,62.2720897615708
"97","NELARABINE",373,72,62.4123422159888
"34","LENVATINIB",336,111,62.6928471248247
"183","PYRAZOLANTHRONE",153,295,62.8330995792426
"277","SILDENAFIL",204,244,62.8330995792426
"43","VELIPARIB",427,23,63.1136044880785
"145","ML258",169,282,63.2538569424965
"36","ML006",337,115,63.3941093969144
"106","SNX-2112:BORTEZOMIB (250:1 MOL/MOL)",301,152,63.5343618513324
"33","SNX-2112",388,66,63.6746143057504
"233","BRIVANIB",206,248,63.6746143057504
"241","NSC48300",291,163,63.6746143057504
"216","AA-COCF3",207,249,63.9551192145863
"222","DASATINIB",222,235,64.0953716690042
"52","BI-2536",422,36,64.2356241234222
"11","16-BETA-BROMOANDROSTERONE",229,230,64.3758765778401
"51","NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL)",431,28,64.3758765778401
"186","BRD-K71935468",271,189,64.5161290322581
"164","PAC-1",254,207,64.656381486676
"194","TIVOZANIB",178,287,65.2173913043478
"146","HC-067047",161,305,65.3576437587658
"214","MOMELOTINIB",227,239,65.3576437587658
"175","IPR-456",394,73,65.4978962131837
"275","PHLORETIN",290,177,65.4978962131837
"6","CID-5951923",240,228,65.6381486676017
"39","LBH-589",387,90,66.9004207573632
"85","PI-103",412,65,66.9004207573632
"185","NAVITOCLAX:PIPERLONGUMINE (1:1 MOL/MOL)",340,138,67.0406732117812
"286","BRD8958",345,133,67.0406732117812
"47","BRD-K50799972",383,97,67.3211781206171
"78","NAKITERPIOSIN",309,172,67.4614305750351
"135","ISOX:BORTEZOMIB (250:1 MOL/MOL)",263,218,67.4614305750351
"89","SELUMETINIB:TRETINOIN (2:1 MOL/MOL)",185,297,67.601683029453
"296","WAY-362450",224,259,67.741935483871
"10","L-685458",342,142,67.8821879382889
"76","BRD-K17060750",335,149,67.8821879382889
"8","NILOTINIB",339,150,68.5834502103787
"87","SELUMETINIB:UNC0638 (4:1 MOL/MOL)",247,242,68.5834502103787
"3","BRD9876",236,254,68.7237026647966
"139","BRD-K70511574",328,164,69.0042075736325
"93","BIRINAPANT",313,180,69.1444600280505
"207","WP1130",297,197,69.2847124824684
"28","JW-480",259,238,69.7054698457223
"102","FQI-2",347,154,70.2664796633941
"35","PARBENDAZOLE",407,95,70.4067321178121
"57","CLOFARABINE",376,126,70.4067321178121
"61","NAVITOCLAX",357,147,70.687237026648
"49","AZD8055",432,76,71.2482468443198
"280","TAMOXIFEN",308,201,71.3884992987377
"220","NEURONAL DIFFERENTIATION INDUCER III",235,280,72.2300140252454
"50","TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL)",410,106,72.3702664796634
"72","BRD-K33199242",379,143,73.2117812061711
"151","ZEBULARINE",304,222,73.7727910238429
"22","AZACITIDINE",372,157,74.1935483870968
"100","SB-431542",375,160,75.0350631136045
"278","TRETINOIN",350,185,75.0350631136045
"125","FUMONISIN B1",323,213,75.1753155680224
"274","TGX-221",223,313,75.1753155680224
"126","ERLOTINIB:PLX-4032 (2:1 MOL/MOL)",368,171,75.5960729312763
"113","MITOMYCIN",389,156,76.437587657784
"91","SELUMETINIB:BRD-A02303741 (4:1 MOL/MOL)",249,298,76.7180925666199
"123","RITA",366,181,76.7180925666199
"147","CICLOPIROX",311,237,76.8583450210379
"245","LE-135",355,196,77.2791023842917
"271","N9-ISOPROPYLOLOMOUCINE",274,284,78.2608695652174
"94","ML083",371,191,78.8218793828892
"154","TANDUTINIB",262,302,79.1023842917251
"30","BORTEZOMIB",318,247,79.2426367461431
"55","NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL)",397,168,79.2426367461431
"46","PROCARBAZINE",421,148,79.8036465638149
"92","SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL)",401,169,79.9438990182328
"86","SGX-523",367,206,80.3646563814867
"95","TRIAZOLOTHIADIAZINE",322,251,80.3646563814867
"130","SERDEMETAN:SCH-529074 (1:1 MOL/MOL)",272,304,80.7854137447405
"45","TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL)",392,187,81.2061711079944
"83","TOPOTECAN",404,178,81.6269284712482
"62","DOXORUBICIN:NAVITOCLAX (2:1 MOL/MOL)",411,175,82.1879382889201
"80","MYRICETIN",364,233,83.7307152875175
"65","MLN2238",400,199,84.0112201963534
"227","SID 26681509",329,271,84.1514726507714
"63","AZ-3146",352,257,85.413744740533
"4","IC-87114",300,314,86.1150070126227
"71","HYPERFORIN",406,208,86.1150070126227
"297","BRD-K03536150",314,301,86.2552594670407
"20","NINTEDANIB",353,272,87.6577840112202
"24","PLATIN",365,264,88.218793828892
"9","OXALIPLATIN",319,311,88.35904628331
"84","C6-CERAMIDE",415,229,90.3225806451613
"276","NECROSTATIN-1",326,318,90.3225806451613
"68","SEMAGACESTAT",381,265,90.6030855539972
"77","MK-0752",402,246,90.8835904628331
"18","SR1001",358,303,92.7068723702665
"74","SELUMETINIB",377,293,93.969144460028
"293","CH-55",419,256,94.6704067321178
"41","DAPORINAD",386,292,95.0911640953717
"15","QUIZARTINIB",413,267,95.3716690042076
"104","PIFITHRIN-ALPHA",369,319,96.4936886395512
"17","TRETINOIN:NAVITOCLAX (4:1 MOL/MOL)",390,300,96.7741935483871
"54","AGK-2",420,275,97.4754558204769
"82","BRD-K11533227",418,289,99.1584852734923
"60","BRD-A71883111",398,315,100
