"","drugs","rank.inact","rank.act","score"
"78","PIPERLONGUMINE",80,273,41.4806110458284
"79","HYPERFORIN",81,93,20.4465334900117
"80","CAY10618",82,137,25.7344300822562
"81","DBEQ",83,211,34.5475910693302
"82","BMS-345541",84,302,45.358401880141
"83","TG-100-115",85,90,20.5640423031727
"84","MK-2206",86,437,61.4571092831962
"85","AZD7545",87,91,20.9165687426557
"86","TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL)",88,277,42.8907168037603
"87","PF-4800567 HYDROCHLORIDE",89,220,36.310223266745
"88","ML320",90,366,53.5840188014101
"89","TACROLIMUS",91,427,60.8695652173913
"90","BRD-K63431240",92,121,25.0293772032902
"91","WP1130",93,426,60.9870740305523
"92","SPAUTIN-1",94,279,43.8307873090482
"93","SNS-032",95,346,51.8213866039953
"94","NECROSULFONAMIDE",97,394,57.6968272620447
"95","KX2-391",98,45,16.8037602820212
"96","PF-750",99,38,16.0987074030552
"97","FLUOROURACIL",100,315,48.7661574618096
"98","SALERMIDE",101,187,33.8425381903643
"99","AZD8055",102,183,33.4900117508813
"100","NAVITOCLAX",103,23,14.8061104582844
"101","MLN2480",104,202,35.957696827262
"102","LRRK2-IN-1",105,400,59.3419506462985
"103","BRD-K97651142",106,151,30.1997649823737
"104","TGX-221",107,244,41.2455934195065
"105","AXITINIB",108,103,24.7943595769683
"106","TRETINOIN:NAVITOCLAX (4:1 MOL/MOL)",109,408,60.7520564042303
"107","BI-2536",110,271,44.7708578143361
"108","SB-525334",111,433,63.924794359577
"109","BRD-K14844214",112,26,16.2162162162162
"110","NUTLIN-3",113,233,40.6580493537015
"111","IMATINIB",114,362,55.9341950646298
"112","ML311",115,161,32.4324324324324
"113","YM-155",116,21,16.0987074030552
"114","ERASTIN",117,138,29.9647473560517
"115","JW-480",118,173,34.1950646298472
"116","ITRACONAZOLE",119,294,48.5311398354877
"117","MK-1775",120,309,50.4112808460635
"118","ML029",121,409,62.2796709753232
"119","NINTEDANIB",122,266,45.593419506463
"120","REGORAFENIB",123,123,28.9071680376028
"121","JQ-1:CARBOPLATIN (1:1 MOL/MOL)",124,419,63.807285546416
"122","MITOMYCIN",125,47,20.2115158636898
"123","PURMORPHAMINE",126,176,35.4876615746181
"124","SELUMETINIB:JQ-1 (4:1 MOL/MOL)",127,188,37.0152761457109
"125","MST-312",128,272,47.0035252643948
"126","BRD-K03536150",129,313,51.9388954171563
"127","ZEBULARINE",130,199,38.6603995299647
"128","ZSTK474",131,382,60.2820211515864
"129","METHYLSTAT",132,105,27.8495887191539
"130","SIROLIMUS",133,133,31.2573443008226
"131","FORETINIB",134,322,53.5840188014101
"132","ALISERTIB:NAVITOCLAX (2:1 MOL/MOL)",135,431,66.5099882491187
"133","ML210",136,12,17.3913043478261
"134","OSI-027",137,234,43.5957696827262
"135","B02",138,63,23.6192714453584
"136","SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL)",139,446,68.7426556991774
"137","BMS-195614",140,184,38.0728554641598
"138","SARACATINIB",141,96,27.8495887191539
"139","BEXAROTENE",142,336,56.1692126909518
"140","ML334 DIASTEREOMER",143,24,19.6239717978848
"141","CI-976",144,291,51.1163337250294
"142","OXALIPLATIN",145,158,35.6051703877791
"143","AZACITIDINE",146,135,33.0199764982374
"144","GSK-3 INHIBITOR IX",147,374,61.2220916568743
"145","CD-437",148,85,27.37955346651
"146","SILMITASERTIB",149,86,27.614571092832
"147","MOMELOTINIB",150,140,34.0775558166862
"148","IU1",151,259,48.1786133960047
"149","BRD-K17060750",152,343,58.1668625146886
"150","BRD-K28456706",153,101,29.8472385428907
"151","INDISULAM",154,332,57.1092831962397
"152","NEURONAL DIFFERENTIATION INDUCER III",155,359,60.3995299647474
"153","DASATINIB",156,102,30.3172737955347
"154","ML006",157,347,59.2244418331375
"155","LAPATINIB",158,230,45.593419506463
"156","RITA",159,353,60.1645123384254
"157","BETULINIC ACID",160,171,38.8954171562867
"158","ETOPOSIDE",161,179,39.9529964747356
"159","CERANIB-2",162,303,54.641598119859
"160","KPT185",163,388,64.7473560517039
"161","ALVOCIDIB",164,9,20.3290246768508
"162","BELINOSTAT",165,320,56.9917743830787
"163","BRD-K85133207",166,124,34.0775558166862
"164","LEPTOMYCIN B",167,340,59.5769682726204
"165","BRD-K24690302",168,227,46.4159811985899
"166","KW-2449",169,146,37.0152761457109
"167","ISONICOTINOHYDROXAMIC ACID",170,39,24.5593419506463
"168","JQ-1:NAVITOCLAX (2:1 MOL/MOL)",171,367,63.219741480611
"169","TIPIFARNIB-P1",173,373,64.1598119858989
"170","JQ-1:MK-0752 (1:1 MOL/MOL)",174,412,68.8601645123384
"171","DACARBAZINE",175,404,68.0376028202115
"172","AZD7762",176,136,36.662749706228
"173","FUMONISIN B1",177,293,55.2291421856639
"174","AM-580",178,60,27.9670975323149
"175","AUSTOCYSTIN D",179,3,21.3866039952996
"176","ERISMODEGIB",180,350,62.2796709753232
"177","IPR-456",181,108,33.9600470035253
"178","ISOX:BORTEZOMIB (250:1 MOL/MOL)",182,186,43.2432432432432
"179","MASITINIB",183,270,53.2314923619271
"180","BRD-K80183349",184,356,63.454759106933
"181","BLEOMYCIN A2",186,209,46.4159811985899
"182","BRD9647",187,364,64.7473560517039
"183","AVICIN D",188,251,51.5863689776733
"184","ML083",189,385,67.4500587544066
"185","BARASERTIB",190,150,39.9529964747356
"186","SELUMETINIB:GDC-0941 (4:1 MOL/MOL)",191,354,64.042303172738
"187","MYRICETIN",192,148,39.9529964747356
"188","CCT036477",193,62,29.9647473560517
"189","TRIPTOLIDE",194,324,60.8695652173913
"190","DECITABINE:NAVITOCLAX (2:1 MOL/MOL)",195,342,63.1022326674501
"191","PF-184",196,67,30.9048178613396
"192","A-804598",197,152,41.0105757931845
"193","LOMEGUATRIB",198,284,56.6392479435958
"194","BRD-K26531177",199,441,75.2056404230317
"195","AVRAINVILLAMIDE",200,339,63.337250293772
"196","NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL)",201,393,69.8002350176263
"197","PIFITHRIN-ALPHA",202,154,41.8331374853114
"198","BOSUTINIB",203,292,58.1668625146886
"199","CRIZOTINIB:PLX-4032 (2:1 MOL/MOL)",204,397,70.6227967097532
"200","PHA-793887",205,117,37.8378378378378
"201","ERLOTINIB:PLX-4032 (2:1 MOL/MOL)",206,54,30.5522914218566
"202","BRD-K34222889",207,278,56.9917743830787
"203","ML050",208,377,68.7426556991774
"204","SJ-172550",209,104,36.780258519389
"205","UNC0321",210,194,47.4735605170388
"206","R428",211,214,49.9412455934195
"207","NAVITOCLAX:PLX-4032 (1:1 MOL/MOL)",212,33,28.7896592244418
"208","COMPOUND 1B",213,80,34.4300822561692
"209","GOSSYPOL",214,69,33.2549941245593
"210","DECITABINE",215,311,61.8096357226792
"211","CICLOPIROX",216,162,44.4183313748531
"212","BRD-K50799972",217,156,43.8307873090482
"213","OLIGOMYCIN A",218,258,55.9341950646298
"214","PROCHLORPERAZINE",219,71,34.0775558166862
"215","NSC19630",220,274,58.0493537015276
"216","ELOCALCITOL",221,107,38.5428907168038
"217","FQI-2",222,370,69.5652173913043
"218","CYTARABINE HYDROCHLORIDE",223,11,27.497062279671
"219","KU-55933",224,396,72.855464159812
"220","VELIPARIB",225,17,28.4371327849589
"221","MERCK60",226,281,59.5769682726204
"222","PRL-3 INHIBITOR I",227,50,32.5499412455934
"223","LE-135",228,369,70.1527614571093
"224","GEMCITABINE",229,401,74.0305522914219
"225","WZ4002",230,192,49.5887191539365
"226","MI-2",231,30,30.6698002350176
"227","TRAMETINIB",232,348,68.1551116333725
"228","TRIFLUOPERAZINE",233,178,48.2961222091657
"229","LOVASTATIN",234,352,68.8601645123384
"230","HLI 373",235,349,68.6251468860165
"231","GW-405833",236,246,56.6392479435958
"232","TIVOZANIB",237,298,62.8672150411281
"233","NAVITOCLAX:GEMCITABINE (1:1 MOL/MOL)",238,193,50.6462984723854
"234","ENTINOSTAT",239,228,54.876615746181
"235","BRD-A86708339",240,267,59.5769682726204
"236","CH-55",241,225,54.75910693302
"237","DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL)",242,5,29.0246768507638
"238","SELUMETINIB:DECITABINE (4:1 MOL/MOL)",243,432,79.3184488836663
"239","TAMATINIB",244,334,67.9200940070505
"240","UNC0638:NAVITOCLAX (1:1 MOL/MOL)",245,341,68.8601645123384
"241","DINACICLIB",246,264,59.9294947121034
"242","AFATINIB",247,153,47.0035252643948
"243","BRIVANIB",248,10,30.3172737955347
"244","BRD-K51831558",249,1,29.3772032902468
"245","BRD-K88742110",250,182,50.7638072855464
"246","TAMOXIFEN",251,111,42.5381903642773
"247","BRD-K66532283",252,98,41.1280846063455
"248","NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL)",253,49,35.4876615746181
"249","MDIVI-1",254,128,44.8883666274971
"250","CUCURBITACIN I",255,13,31.4923619271445
"251","BIRINAPANT",256,159,48.7661574618096
"252","SZ4TA2",257,132,45.710928319624
"253","BRD-K51490254",258,77,39.3654524089307
"254","PX-12",259,392,76.4982373678026
"255","NICLOSAMIDE",260,36,34.7826086956522
"256","SELUMETINIB:PIPERLONGUMINE (8:1 MOL/MOL)",261,120,44.7708578143361
"257","TOSEDOSTAT",262,167,50.4112808460635
"258","SB-225002",263,131,46.2984723854289
"259","PF-573228",264,142,47.7085781433608
"260","O-6-BENZYLGUANINE",265,241,59.4594594594595
"261","AT13387",266,112,44.4183313748531
"262","NECROSTATIN-1",267,297,66.2749706227967
"263","OLAPARIB",268,317,68.7426556991774
"264","PLX-4720",269,440,83.3137485311398
"265","SELUMETINIB:PLX-4032 (8:1 MOL/MOL)",270,254,61.5746180963572
"266","SELUMETINIB",271,95,43.0082256169213
"267","NSC95397",272,265,63.1022326674501
"268","BRD-K29313308",273,100,43.8307873090482
"269","IC-87114",274,252,61.8096357226792
"270","AT7867",275,46,37.7203290246769
"271","PLX-4032",276,306,68.3901292596945
"272","BRD-K48477130",277,25,35.4876615746181
"273","BRD-K41597374",278,365,75.5581668625147
"274","ETP-46464",279,236,60.5170387779083
"275","BIX-01294",280,402,80.1410105757932
"276","HBX-41108",281,386,78.3783783783784
"277","SELUMETINIB:UNC0638 (4:1 MOL/MOL)",282,250,62.5146886016451
"278","GSK2636771",283,304,68.9776733254994
"279","DOCETAXEL",284,166,52.8789659224442
"280","NSC632839",285,143,50.2937720329025
"281","SKI-II",286,189,55.8166862514689
"282","SERDEMETAN",287,448,86.3689776733255
"283","COL-3",288,282,66.9800235017626
"284","PEVONEDISTAT",289,31,37.6028202115159
"285","PIFITHRIN-MU",290,389,79.7884841363102
"286","SALERMIDE:PLX-4032 (12:1 MOL/MOL)",291,149,51.7038777908343
"287","CAL-101",292,269,65.9224441833137
"288","BRD-K33199242",293,379,78.9659224441833
"289","SKEPINONE-L",294,218,60.1645123384254
"290","VINCRISTINE",295,134,50.4112808460635
"291","REPLIGEN 136",296,64,42.3031727379554
"292","FINGOLIMOD",297,438,86.3689776733255
"293","NAVITOCLAX:MST-312 (1:1 MOL/MOL)",298,190,57.3443008225617
"294","KO-143",299,74,43.8307873090482
"295","CLOFARABINE",300,333,74.3830787309048
"296","BRD-K92856060",301,68,43.3607520564042
"297","PI-103",302,198,58.7544065804935
"298","BRD-K64610608",303,130,50.8813160987074
"299","IBRUTINIB",304,219,61.4571092831962
"300","TG-101348",305,247,64.8648648648649
"301","OMACETAXINE MEPESUCCINATE",306,371,79.5534665099882
"302","XL765",307,221,62.0446533490012
"303","BRD-K71935468",308,310,72.62044653349
"304","BRD-A71883111",309,160,55.1116333725029
"305","CYTOCHALASIN B",310,43,41.4806110458284
"306","ISTRADEFYLLINE",311,20,38.8954171562867
"307","KU 0060648",312,300,71.9153936545241
"308","TW-37",313,260,67.3325499412456
"309","RG-108",314,203,60.7520564042303
"310","BRD-K07442505",315,222,63.1022326674501
"311","SUNITINIB",316,235,64.7473560517039
"312","JQ-1",317,226,63.807285546416
"313","BRD-K42260513",318,447,89.8942420681551
"314","CAY10594",319,59,44.4183313748531
"315","STEMREGENIN 1",320,66,45.358401880141
"316","N9-ISOPROPYLOLOMOUCINE",321,237,65.5699177438308
"317","BRD8958",322,37,42.1856639247944
"318","3-CL-AHPC",323,283,71.2103407755582
"319","1S,3R-RSL-3",324,411,86.3689776733255
"320","GW-843682X",325,305,74.0305522914219
"321","LY-2183240",326,391,84.2538190364277
"322","DABRAFENIB",327,29,41.8331374853114
"323","SNX-2112",328,200,62.0446533490012
"324","ISOX",329,61,45.828437132785
"325","PIK-93",330,53,45.0058754406581
"326","NSC30930",331,157,57.3443008225617
"327","VORAPAXAR",332,88,49.3537015276146
"328","BYL-719",333,425,89.0716803760282
"329","AC55649",334,81,48.7661574618096
"330","BRD-A05715709",335,34,43.3607520564042
"331","L-685458",336,92,50.2937720329025
"332","OUABAIN",337,196,62.6321974148061
"333","BRD-K02251932",338,261,70.3877790834313
"334","BRD9876",339,56,46.4159811985899
"335","LBH-589",341,275,72.385428907168
"336","DECITABINE:CARBOPLATIN (1:1 MOL/MOL)",342,4,40.6580493537015
"337","BRD-A02303741:NAVITOCLAX (2:1 MOL/MOL)",343,115,53.8190364277321
"338","TRETINOIN",344,257,70.6227967097532
"339","BRD-K55116708",345,213,65.5699177438308
"340","PLURIPOTIN",347,245,69.5652173913043
"341","VALDECOXIB",348,126,55.6991774383079
"342","BRD-K70511574",349,328,79.5534665099882
"343","CBB-1007",350,65,48.7661574618096
"344","NAVITOCLAX:SORAFENIB (1:1 MOL/MOL)",351,32,45.0058754406581
"345","QUIZARTINIB",352,295,76.0282021151586
"346","AZ-3146",353,147,58.7544065804935
"347","VER-155008",354,296,76.3807285546416
"348","TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL)",355,301,77.0857814336075
"349","CRIZOTINIB",356,390,87.6615746180964
"350","BIBR-1532",357,338,81.668625146886
"351","KI8751",358,41,46.8860164512338
"352","ML203",359,7,43.0082256169213
"353","PAZOPANIB",360,355,84.0188014101058
"354","SU11274",361,330,81.1985898942421
"355","NSC23766",362,163,61.6921269095182
"356","BMS-754807",363,384,87.7790834312573
"357","SCH-529074",364,174,63.219741480611
"358","BRD-K13999467",365,381,87.6615746180964
"359","ISOEVODIAMINE",366,285,76.4982373678026
"360","AA-COCF3",367,177,63.924794359577
"361","KU-60019",368,70,51.4688601645123
"362","BRD-M00053801",369,84,53.2314923619271
"363","DOXORUBICIN:NAVITOCLAX (2:1 MOL/MOL)",371,308,79.7884841363102
"364","PARBENDAZOLE",372,201,67.3325499412456
"365","VORINOSTAT",373,255,73.7955346650999
"366","TRETINOIN:CARBOPLATIN (2:1 MOL/MOL)",374,216,69.3301997649824
"367","C6-CERAMIDE",375,127,58.9894242068155
"368","NVP-231",377,109,57.1092831962397
"369","HC-067047",378,207,68.7426556991774
"370","PANDACOSTAT",380,191,67.0975323149236
"371","BRD8899",381,263,75.6756756756757
"372","NVP-BEZ235",382,168,64.6298472385429
"373","NSC48300",383,215,70.2702702702703
"374","FLUVASTATIN",384,97,56.5217391304348
"375","GANT-61",385,118,59.1069330199765
"376","BMS-536924",386,79,54.641598119859
"377","LINSITINIB",387,224,71.7978848413631
"378","BRD-K61166597",388,145,62.6321974148061
"379","EPIGALLOCATECHIN-3-MONOGALLATE",389,435,96.8272620446534
"380","YK 4-279",390,48,51.4688601645123
"381","SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL)",391,434,96.9447708578143
"382","ALISERTIB",392,407,93.8895417156287
"383","RIGOSERTIB",393,410,94.3595769682726
"384","AZD6482",394,331,85.1938895417156
"385","WAY-362450",395,290,80.4935370152761
"386","SNX-2112:BORTEZOMIB (250:1 MOL/MOL)",396,113,59.8119858989424
"387","GDC-0879",397,276,79.0834312573443
"388","DEXAMETHASONE",398,99,58.4018801410106
"389","WZ8040",399,206,71.0928319623972
"390","DOXORUBICIN",400,55,53.4665099882491
"391","BRD-A02303741:CARBOPLATIN (1:1 MOL/MOL)",401,205,71.2103407755582
"392","16-BETA-BROMOANDROSTERONE",402,383,92.2444183313749
"393","TIVANTINIB",403,299,82.4911868390129
"394","NILOTINIB",404,319,84.9588719153937
"395","BRD-K90370028",405,2,47.8260869565217
"396","NARCICLASINE",406,321,85.4289071680376
"397","VAF-347",407,110,60.7520564042303
"398","BRD-K71781559",408,268,79.4359576968273
"399","TEMOZOLOMIDE",409,42,52.9964747356052
"400","AZD1480",410,229,75.0881316098707
"401","PLATIN",411,375,92.3619271445358
"402","GSK1059615",412,316,85.5464159811986
"403","PITSTOP2",413,416,97.4148061104583
"404","NECROSTATIN-7",414,337,88.2491186839013
"405","PALMOSTATIN B",415,14,50.4112808460635
"406","YL54",416,405,96.4747356051704
"407","NAKITERPIOSIN",417,256,79.0834312573443
"408","STF-31",418,232,76.3807285546416
"409","OBATOCLAX",419,345,89.7767332549941
"410","CR-1-31B",420,406,97.0622796709753
"411","BREFELDIN A",421,413,98.0023501762632
"412","GMX-1778",422,363,92.2444183313749
"413","BAX CHANNEL BLOCKER",423,82,59.3419506462985
"414","SEMAGACESTAT",424,144,66.7450058754407
"415","CID-5951923",425,75,58.7544065804935
"416","BRD-A02303741",426,122,64.3948296122209
"417","DAPORINAD",427,8,51.1163337250294
"418","MK-0752",428,208,74.7356051703878
"419","CARBOPLATIN:ETOPOSIDE (40:17 MOL/MOL)",429,325,88.6016451233843
"420","BRD-K99006945",430,165,69.9177438307873
"421","BRD-K37390332",431,210,75.3231492361927
"422","BCL-LZH-4",432,94,61.8096357226792
"423","GSK4112",433,323,88.8366627497062
"424","TRIAZOLOTHIADIAZINE",434,417,100
"425","LENVATINIB",435,415,99.882491186839
