"","drugs","rank.down","rank.up","score"
"130","BMS-345541",220,156,79.8301486199575
"136","LOMEGUATRIB",227,151,80.2547770700637
"157","GW-405833",271,111,81.104033970276
"154","GDC-0879",263,121,81.5286624203822
"169","AZD8055",288,96,81.5286624203822
"109","MASITINIB",186,199,81.7409766454353
"126","PD318088",215,170,81.7409766454353
"131","SELUMETINIB",221,164,81.7409766454353
"160","C6-CERAMIDE",274,120,83.651804670913
"150","PYRAZOLANTHRONE",255,140,83.864118895966
"127","SKI-II",216,181,84.2887473460722
"119","ETOPOSIDE",205,197,85.3503184713376
"125","SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL)",212,192,85.7749469214437
"168","SR-II-138A",287,124,87.2611464968153
"148","ERASTIN",252,167,88.9596602972399
"151","APICIDIN",258,165,89.8089171974522
"140","LINSITINIB",238,187,90.2335456475584
"149","IMATINIB",254,179,91.932059447983
"143","TPCA-1",243,195,92.9936305732484
"147","KU-0063794",250,201,95.7537154989384
"163","TANESPIMYCIN",280,175,96.6029723991507
"167","PLURIPOTIN",286,185,100
