"","drugs","rank.down","rank.up","score"
"453","AFATINIB",223,254,33.426769446391
"475","PONATINIB",344,134,33.4968465311843
"220","CYTARABINE",231,253,33.9173090399439
"274","SELUMETINIB:VORINOSTAT (8:1 MOL/MOL)",212,279,34.4078486334968
"650","AZD7545",20,471,34.4078486334968
"306","BETULINIC ACID",471,21,34.4779257182901
"575","CYANOQUINOLINE 11",258,235,34.5480028030834
"410","GSK319347A",94,400,34.6180798878767
"251","BRD-K63431240",158,340,34.8983882270498
"222","ML162",482,17,34.968465311843
"712","VU0155056",378,124,35.1786965662228
"173","WZ3105",365,143,35.5991590749825
"474","BRIVANIB",261,247,35.5991590749825
"689","BRD-K80183349",166,346,35.8794674141556
"673","JW-480",276,237,35.9495444989488
"368","BCL-LZH-4",226,288,36.0196215837421
"132","BRD-K16147474",419,96,36.0896986685354
"456","PFI-1",324,191,36.0896986685354
"625","NSC48300",178,338,36.1597757533287
"405","BRD9876:MK-1775 (4:1 MOL/MOL)",55,463,36.2999299229152
"483","(5Z)-7-OXOZEAENOL",236,283,36.3700070077085
"130","TRETINOIN",439,83,36.5802382620883
"213","3-CL-AHPC",491,31,36.5802382620883
"300","AXITINIB",187,335,36.5802382620883
"21","TIGECYCLINE",465,58,36.6503153468816
"686","SB52334",113,411,36.7203924316748
"312","SNS-032",274,251,36.7904695164681
"386","CGP-60474",107,419,36.8605466012614
"562","ENZASTAURIN",332,194,36.8605466012614
"208","BRD-K70511574",480,47,36.9306236860547
"409","PYRIMETHAMINE",100,433,37.3510861948143
"606","FR-180204",11,523,37.4211632796076
"536","AS601245",15,522,37.6313945339874
"532","SB-525334",118,421,37.7715487035739
"560","MERCK60",389,154,38.051857042747
"247","BRD-K97651142",142,402,38.1219341275403
"144","C6-CERAMIDE",536,9,38.1920112123336
"337","PITSTOP2",385,160,38.1920112123336
"194","CERANIB-2",534,12,38.2620882971268
"476","QS11",174,375,38.4723195515067
"237","GSK1070916",521,29,38.5423966362999
"388","A-770041",156,397,38.7526278906797
"33","PACLITAXEL",406,151,39.0329362298528
"253","ENTINOSTAT",520,37,39.0329362298528
"204","SCH-79797",437,123,39.2431674842327
"526","AS605240",220,341,39.3132445690259
"568","CAY10594",52,510,39.3833216538192
"107","QUIZARTINIB",440,127,39.7337070777856
"441","SERDEMETAN",26,544,39.9439383321654
"45","LEPTOMYCIN B",549,22,40.0140154169587
"396","BICALUTAMIDE",120,451,40.0140154169587
"434","RITA",490,81,40.0140154169587
"506","ERLOTINIB",468,103,40.0140154169587
"70","LBH-589",506,66,40.0840925017519
"361","BRD-K42260513",22,550,40.0840925017519
"72","PD318088",415,158,40.1541695865452
"494","KW-2449",418,156,40.2242466713385
"684","ZIBOTENTAN",279,295,40.2242466713385
"149","JQ-1",531,48,40.5746320953048
"473","GSK269962A",472,108,40.6447091800981
"210","GW-843682X",524,57,40.7147862648914
"508","GSK4112",204,377,40.7147862648914
"664","BIX02189",6,575,40.7147862648914
"403","SR8278",81,501,40.7848633496847
"462","CAL-101",210,372,40.7848633496847
"216","TW 37",371,212,40.8549404344779
"655","CHLORAMBUCIL",65,518,40.8549404344779
"505","CD-1530",194,390,40.9250175192712
"211","GSK525762A",128,458,41.0651716888577
"408","AZ628",134,453,41.135248773651
"159","BLEBBISTATIN",551,38,41.2754029432376
"135","OBATOCLAX MESYLATE",232,358,41.3454800280308
"241","CIL56",556,34,41.3454800280308
"328","LRRK2-IN-1",29,561,41.3454800280308
"393","JW-7-52-1",85,506,41.4155571128241
"598","BRD-K50799972",343,248,41.4155571128241
"83","NARCICLASINE",559,33,41.4856341976174
"185","NILOTINIB",530,62,41.4856341976174
"501","WEE1 INHIBITOR",137,455,41.4856341976174
"339","IBRUTINIB",208,386,41.6257883672039
"415","BRD-K09344309",102,493,41.6958654519972
"445","KU-60019",498,97,41.6958654519972
"301","HG-5-113-01",267,332,41.9761737911703
"96","NINTEDANIB",424,177,42.1163279607568
"429","HG6-64-1",184,417,42.1163279607568
"539","SIMVASTATIN",523,79,42.1864050455501
"687","SKI-II",264,339,42.2564821303434
"3","IFOSFAMIDE",198,406,42.3265592151366
"55","BI-2536",402,202,42.3265592151366
"254","I-BET151",243,361,42.3265592151366
"513","BMS-345541",271,333,42.3265592151366
"28","MYRIOCIN",338,268,42.4667133847232
"324","AVRAINVILLAMIDE",321,286,42.5367904695165
"418","AKT INHIBITOR VIII",186,424,42.7470217238963
"487","SELUMETINIB:UNC0638 (4:1 MOL/MOL)",181,429,42.7470217238963
"556","COMPOUND 23 CITRATE",151,461,42.8871758934828
"458","CHIR-99021",182,431,42.9572529782761
"209","SMER-3",601,14,43.0974071478626
"417","JW-55",47,568,43.0974071478626
"317","PD 153035",399,218,43.2375613174492
"230","PF-573228",481,137,43.3076384022425
"439","NAVITOCLAX:MST-312 (1:1 MOL/MOL)",363,255,43.3076384022425
"652","TAK-715",76,542,43.3076384022425
"39","QS-11",396,223,43.3777154870357
"106","METHOTREXATE",525,98,43.6580238262088
"463","SGC0946",348,275,43.6580238262088
"482","FEDRATINIB",145,478,43.6580238262088
"303","CRIZOTINIB:PLX-4032 (2:1 MOL/MOL)",259,366,43.7981779957954
"25","BRD-K58730230",500,126,43.8682550805886
"432","MK-1775",504,122,43.8682550805886
"688","BRD9647",168,460,44.0084092501752
"690","GANT-61",352,276,44.0084092501752
"450","GENENTECH CPD 10",201,428,44.0784863349685
"518","NG-25",247,384,44.218640504555
"293","BRD1812",410,224,44.4288717589348
"554","BRD-K26531177",322,312,44.4288717589348
"139","BRD-K29086754",501,136,44.6391030133146
"278","CRIZOTINIB",112,525,44.6391030133146
"574","LE-135",346,292,44.7091800981079
"638","BRD-K03536150",170,468,44.7091800981079
"74","GEMCITABINE",614,25,44.7792571829012
"507","NAVITOCLAX:SORAFENIB (1:1 MOL/MOL)",508,131,44.7792571829012
"186","RTRAIL",379,263,44.989488437281
"61","VINBLASTINE",386,258,45.1296426068676
"111","OUABAIN",600,44,45.1296426068676
"382","TOZASERTIB",62,582,45.1296426068676
"336","KPT185",517,128,45.1997196916608
"380","RAPAMYCIN",426,219,45.1997196916608
"151","TENIPOSIDE",518,129,45.3398738612474
"467","PROCHLORPERAZINE",323,324,45.3398738612474
"525","VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL)",30,617,45.3398738612474
"658","SARACATINIB",66,583,45.4800280308339
"515","NEURONAL DIFFERENTIATION INDUCER III",13,637,45.5501051156272
"258","JQ-1:CARBOPLATIN (1:1 MOL/MOL)",167,484,45.6201822004205
"341","A-804598",496,155,45.6201822004205
"349","JW-74",121,530,45.6201822004205
"391","BMS-509744",360,291,45.6201822004205
"16","BRD-K44224150",409,243,45.6902592852137
"206","NICLOSAMIDE",478,174,45.6902592852137
"681","KIN001-270",310,342,45.6902592852137
"26","BRD-K27188169",584,69,45.760336370007
"277","BRD-K34222889",576,80,45.9705676243868
"389","WH-4-023",412,244,45.9705676243868
"157","MLN2238",427,233,46.2508759635599
"200","SU11274",479,181,46.2508759635599
"390","WZ-1-84",86,576,46.3910301331465
"56","PARTHENOLIDE",108,555,46.4611072179397
"238","BIRINAPANT",160,505,46.6012613875263
"671","SB216763",41,625,46.6713384723196
"322","BRD-K90370028",111,556,46.7414155571128
"490","NVP-BSK805",280,387,46.7414155571128
"578","PF-4708671",87,581,46.8114926419061
"178","16-BETA-BROMOANDROSTERONE",594,76,46.9516468114926
"316","THALIDOMIDE",477,193,46.9516468114926
"404","GSK-J4",103,567,46.9516468114926
"172","BRD-K07442505",616,55,47.0217238962859
"282","SJ-172550",643,28,47.0217238962859
"711","IPR-456",664,7,47.0217238962859
"110","DAPORINAD",513,159,47.0918009810792
"377","FMK",458,214,47.0918009810792
"636","VISMODEGIB",37,636,47.1618780658725
"436","DACARBAZINE",529,146,47.302032235459
"531","EPIGALLOCATECHIN-3-MONOGALLATE",474,201,47.302032235459
"355","RO4929097",394,282,47.3721093202523
"713","TRETINOIN:CARBOPLATIN (2:1 MOL/MOL)",297,379,47.3721093202523
"320","O-6-BENZYLGUANINE",263,414,47.4421864050455
"257","ERASTIN",673,5,47.5122634898388
"663","XMD15-27",12,666,47.5122634898388
"579","BRD-K41597374",18,661,47.5823405746321
"87","TRIPTOLIDE",573,107,47.6524176594254
"105","YM-155",533,147,47.6524176594254
"468","NUTLIN-3A (-)",115,565,47.6524176594254
"394","A-443654",312,370,47.7925718290119
"581","NSC23766",14,669,47.8626489138052
"608","SB505124",7,676,47.8626489138052
"457","TACROLIMUS",130,554,47.9327259985985
"122","MITOMYCIN-C",639,46,48.0028030833917
"292","BRD-K55116708",546,140,48.072880168185
"416","ABIRATERONE",92,595,48.1429572529783
"196","MITOMYCIN",345,343,48.2130343377715
"643","BRD6340",77,611,48.2130343377715
"517","RUCAPARIB",473,217,48.3531885073581
"153","DECITABINE:NAVITOCLAX (2:1 MOL/MOL)",203,488,48.4232655921514
"140","JQ-1:NAVITOCLAX (2:1 MOL/MOL)",610,82,48.4933426769446
"54","BRD8899",463,230,48.5634197617379
"310","SUNITINIB",162,531,48.5634197617379
"2","CYCLOPHOSPHAMIDE",455,240,48.7035739313245
"85","968",364,331,48.7035739313245
"419","OSU-03012",492,203,48.7035739313245
"268","SB-225002",572,125,48.843728100911
"344","ETP-46464",161,536,48.843728100911
"240","AZD7762",656,42,48.9138051857043
"672","N9-ISOPROPYLOLOMOUCINE",4,694,48.9138051857043
"119","BRD-K75293299",586,113,48.9838822704975
"486","BAX CHANNEL BLOCKER",27,672,48.9838822704975
"502","BAY-61-3606",135,564,48.9838822704975
"670","NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL)",45,654,48.9838822704975
"203","SGX-523",593,109,49.1941135248774
"497","KU-55933",397,305,49.1941135248774
"651","PFI-3",25,677,49.1941135248774
"32","BRD-K13185470",608,95,49.2641906096706
"88","ALISERTIB",655,51,49.4744218640505
"109","BREFELDIN A",607,99,49.4744218640505
"207","LESTAURTINIB",362,344,49.4744218640505
"383","S-TRITYL-L-CYSTEINE",110,596,49.4744218640505
"406","BRD-K30748066",216,491,49.5444989488437
"385","GNF-2",150,559,49.6846531184303
"167","BMS-754807",702,8,49.7547302032235
"215","JNK-9L",452,259,49.8248072880168
"493","YK-4-279",355,356,49.8248072880168
"660","KIN001-260",2,709,49.8248072880168
"30","WAY-362450",711,1,49.8948843728101
"101","BRD-A02303741:CARBOPLATIN (1:1 MOL/MOL)",635,77,49.8948843728101
"623","BRD-K88742110",1,712,49.9649614576034
"669","GSK429286A",69,644,49.9649614576034
"239","AM-580",242,472,50.0350385423966
"279","MK-2206",629,85,50.0350385423966
"717","ELOCALCITOL",60,655,50.1051156271899
"401","BRD-K01737880",192,526,50.3153468815697
"599","XAV939",357,362,50.385423966363
"645","BARASERTIB",369,352,50.5255781359495
"100","NAVITOCLAX:GEMCITABINE (1:1 MOL/MOL)",544,178,50.5956552207428
"593","BRD-K66532283",211,515,50.8759635599159
"94","BRD-K20514654",687,41,51.0161177295025
"104","TOPOTECAN",590,138,51.0161177295025
"347","BYL-719",543,185,51.0161177295025
"472","TG-101348",165,563,51.0161177295025
"43","SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL)",719,11,51.156271899089
"51","BRD-K33199242",715,15,51.156271899089
"286","PIPERLONGUMINE:MST-312 (1:1 MOL/MOL)",540,190,51.156271899089
"348","GSK2636771",238,492,51.156271899089
"705","BRD-K27986637",359,371,51.156271899089
"588","IMATINIB",57,674,51.2263489838823
"622","XMD14-99",28,703,51.2263489838823
"262","QW-BI-011",709,23,51.2964260686755
"79","TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL)",618,115,51.3665031534688
"283","GW441756",248,485,51.3665031534688
"99","AT7867",574,161,51.5066573230554
"634","OLAPARIB",224,511,51.5066573230554
"479","MANUMYCIN A",495,242,51.6468114926419
"620","DORAMAPIMOD",51,687,51.7168885774352
"397","JQ1",193,546,51.7869656622284
"545","MASITINIB",96,643,51.7869656622284
"676","STF-62247",116,623,51.7869656622284
"631","IDELALISIB",42,700,51.9971969166083
"227","VORINOSTAT",632,111,52.0672740014015
"527","BRD-K45681478",376,367,52.0672740014015
"50","EPOTHILONE B",366,378,52.1373510861948
"187","CAY10603",638,106,52.1373510861948
"572","TL-1-85",218,528,52.2775052557814
"182","PYR-41",577,170,52.3475823405746
"62","RG-108",585,163,52.4176594253679
"649","TL-2-105",59,689,52.4176594253679
"665","JNK INHIBITOR VIII",35,714,52.4877365101612
"677","BRD-K11533227",31,721,52.697967764541
"411","TGX221",522,231,52.7680448493343
"7","MI-1",698,56,52.8381219341275
"138","BRD-K84807411",438,316,52.8381219341275
"452","NVP-BHG712",281,474,52.9081990189208
"661","Y-39983",72,684,52.9782761037141
"692","PIFITHRIN-ALPHA",122,634,52.9782761037141
"285","ML006",575,182,53.0483531885074
"612","BRD-K13999467",272,489,53.3286615276804
"523","PF-543",173,591,53.5388927820603
"637","PLX-4720",270,494,53.5388927820603
"11","BEXAROTENE",74,691,53.6089698668535
"24","LY-2157299",330,435,53.6089698668535
"244","BRD4132",541,225,53.6790469516468
"582","DABRAFENIB",319,447,53.6790469516468
"129","PI-103",708,59,53.7491240364401
"143","NAKITERPIOSIN",562,206,53.8192011212334
"275","WP1130",464,304,53.8192011212334
"630","PF-750",388,380,53.8192011212334
"118","BRYOSTATIN 1",668,102,53.9593552908199
"617","KIN001-236",144,626,53.9593552908199
"225","FLUOROURACIL",682,90,54.0995094604064
"454","GOSSYPOL",325,448,54.1695865451997
"594","PX-12",336,439,54.3097407147863
"719","BRD-K27188169:NAVITOCLAX (2:1 MOL/MOL)",407,368,54.3097407147863
"44","L-685458",555,221,54.3798177995795
"84","SNX-2112:BORTEZOMIB (250:1 MOL/MOL)",699,78,54.4498948843728
"134","JQ-1:MK-0752 (1:1 MOL/MOL)",685,92,54.4498948843728
"563","MOTESANIB",644,133,54.4498948843728
"603","PELITINIB",119,658,54.4498948843728
"276","PF-184",660,119,54.5900490539594
"683","NECROSTATIN-1",98,681,54.5900490539594
"675","PHLORETIN",390,391,54.7302032235459
"455","ZG-10",177,605,54.8002803083392
"504","TRIFLUOPERAZINE",149,633,54.8002803083392
"5","COMPOUND 1B",697,87,54.9404344779257
"644","BRD1835",519,265,54.9404344779257
"707","CAY10576",571,215,55.0805886475123
"112","DOXORUBICIN:NAVITOCLAX (2:1 MOL/MOL)",511,277,55.2207428170988
"496","CABOZANTINIB",429,359,55.2207428170988
"330","WZ4002",240,549,55.2908199018921
"362","ALVOCIDIB",423,369,55.5010511562719
"484","AZD6482",370,423,55.5711282410652
"163","TRIAZOLOTHIADIAZINE",337,457,55.6412053258584
"202","BRD-K14844214",292,502,55.6412053258584
"407","CYCLOPAMINE",215,580,55.7112824106517
"371","AVICIN D",262,535,55.8514365802383
"580","NU7441",331,469,56.0616678346181
"584","AA-COCF3",82,718,56.0616678346181
"175","TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL)",392,409,56.1317449194114
"228","PD0325901",567,234,56.1317449194114
"281","YM201636",532,270,56.2018220042046
"284","FSC231",545,257,56.2018220042046
"511","KHS101",380,422,56.2018220042046
"710","UNC0321",157,645,56.2018220042046
"356","DINACICLIB",450,353,56.2718990889979
"58","TIPIFARNIB-P1",485,319,56.3419761737912
"592","SB590885",148,656,56.3419761737912
"289","CANERTINIB",675,130,56.4120532585844
"214","SR1001",340,466,56.4821303433777
"57","VINORELBINE ",381,427,56.6222845129643
"115","QL-VIII-58",461,347,56.6222845129643
"231","JQ12",318,490,56.6222845129643
"164","NERATINIB",652,157,56.6923615977575
"627","BRD-K35604418",127,683,56.7624386825508
"19","REPLIGEN 136",623,188,56.8325157673441
"697","BRD-K27224038",93,720,56.9726699369306
"217","CYTARABINE HYDROCHLORIDE",374,440,57.0427470217239
"260","PAC-1",163,651,57.0427470217239
"287","CARBOPLATIN:ETOPOSIDE (40:17 MOL/MOL)",368,449,57.2529782761037
"15","ML312",591,227,57.323055360897
"353","BRD-K99006945",342,476,57.323055360897
"646","QL-XII-61",217,601,57.323055360897
"183","1S,3R-RSL-3",494,325,57.3931324456903
"23","BMS-270394",138,682,57.4632095304835
"97","DACTOLISIB",604,216,57.4632095304835
"59","TAMATINIB",704,118,57.6033637000701
"446","PAZOPANIB",391,432,57.6734407848634
"577","CCT007093",305,520,57.8135949544499
"127","AGK-2",253,574,57.9537491240364
"272","SHIKONIN",583,246,58.093903293623
"591","EHT-1864",404,425,58.093903293623
"165","BRD-K78574327",686,145,58.2340574632095
"395","GW843682X",288,543,58.2340574632095
"477","NUTLIN-3",125,706,58.2340574632095
"121","BRD-K86535717",417,416,58.3742116327961
"379","PICTILISIB",329,504,58.3742116327961
"639","SELUMETINIB:PLX-4032 (8:1 MOL/MOL)",302,532,58.4442887175893
"236","ML210",565,271,58.5844428871759
"485","NSC95397",393,443,58.5844428871759
"679","NSC-87877",190,646,58.5844428871759
"80","SELUMETINIB",539,298,58.6545199719692
"358","BRD-K51831558",645,192,58.6545199719692
"392","CMK",221,616,58.6545199719692
"91","SNX-2112",690,148,58.7245970567624
"224","ETOPOSIDE",636,204,58.864751226349
"367","AT13387",398,442,58.864751226349
"520","PIFITHRIN-MU",411,430,58.9348283111423
"706","BRD-K17060750",560,281,58.9348283111423
"270","AT-7519",569,273,59.0049053959355
"170","MK-0752",691,152,59.0749824807288
"338","R428",311,533,59.1450595655221
"699","NSC 74859",435,410,59.2151366503153
"609","MDIVI-1",431,420,59.635599159075
"31","BRD8958",222,631,59.7757533286615
"674","SL0101",225,628,59.7757533286615
"363","CBB-1007",313,541,59.8458304134548
"500","I-BET-762",453,401,59.8458304134548
"509","STEMREGENIN 1",341,513,59.8458304134548
"269","STAUROSPORINE",713,142,59.9159074982481
"326","NSC19630",557,299,59.9859845830413
"503","BRD-K85133207",377,481,60.1261387526279
"226","IC-87114",403,456,60.1962158374212
"607","CI-1040",235,624,60.1962158374212
"13","ML203",185,675,60.2662929222144
"17","BRD-K34485477",475,385,60.2662929222144
"199","ITRACONAZOLE",442,418,60.2662929222144
"597","IPA-3",314,547,60.3363700070077
"372","AT-406",349,516,60.6166783461808
"89","BRD-K37390332",202,664,60.6867554309741
"232","KU 0060648",670,196,60.6867554309741
"412","XMD8-85",563,303,60.6867554309741
"478","CX-5461",171,696,60.7568325157673
"461","KIN001-244",334,534,60.8269096005606
"376","BRD-M00053801",296,573,60.8969866853539
"680","LOMEGUATRIB",275,594,60.8969866853539
"245","BRD-K28456706",646,226,61.1072179397337
"451","BRD-A94377914",408,464,61.1072179397337
"414","SALUBRINAL",304,569,61.177295024527
"720","PHENFORMIN",306,571,61.4576033637001
"4","SB-431542",712,167,61.5977575332866
"585","PD173074",298,586,61.948142957253
"425","BRD-K71781559",678,207,62.0182200420462
"640","ALECTINIB",237,648,62.0182200420462
"329","SALERMIDE",460,426,62.0882971268395
"413","SELICICLIB",384,503,62.1583742116328
"124","PLX-4032",497,393,62.3686054660126
"53","CR-1-31B",561,330,62.4386825508059
"137","BRD-K79669418",680,211,62.4386825508059
"553","SID 26681509",564,327,62.4386825508059
"252","FQI-1",284,608,62.5087596355992
"261","PL-DI",487,405,62.5087596355992
"471","FINGOLIMOD",250,642,62.5087596355992
"583","ZM447439",207,685,62.5087596355992
"47","SEPANTRONIUM BROMIDE",535,364,62.9992992291521
"249","TEMOZOLOMIDE",550,349,62.9992992291521
"142","ZSTK474",611,289,63.0693763139453
"522","ML031",488,412,63.0693763139453
"291","TALAZOPARIB",301,600,63.1394533987386
"421","VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL)",469,434,63.2796075683252
"128","AR-42",659,250,63.7000700770848
"659","BRD-A71883111",241,668,63.7000700770848
"90","DECITABINE",597,313,63.7701471618781
"102","NAVITOCLAX",507,403,63.7701471618781
"449","BIX-01294",320,590,63.7701471618781
"188","CLOFARABINE",538,373,63.8402242466713
"656","VALDECOXIB",285,627,63.9103013314646
"93","AZD8055",693,220,63.9803784162579
"365","PF-3758309",294,619,63.9803784162579
"529","AC55649",447,467,64.0504555010511
"71","DACINOSTAT",596,320,64.1906096706377
"189","KU-0063794",580,337,64.260686755431
"682","SELISISTAT",444,473,64.260686755431
"265","FH535",589,329,64.3307638402243
"570","TG-100-115",382,539,64.5409950946041
"465","BRD-K94991378",273,649,64.6110721793973
"624","AMUVATINIB",244,679,64.6811492641906
"168","TANESPIMYCIN",653,272,64.8213034337772
"243","ML311",716,209,64.8213034337772
"190","TRETINOIN:NAVITOCLAX (4:1 MOL/MOL)",428,498,64.8913805185704
"313","NPC-26",286,640,64.8913805185704
"212","OSI-027",714,213,64.9614576033637
