"","inactive"
"BRD-A02303741:CARBOPLATIN (1:1 MOL/MOL)",142
"OUABAIN",82
"SELUMETINIB:DECITABINE (4:1 MOL/MOL)",148
"SB-431542",61
"TRETINOIN:CARBOPLATIN (2:1 MOL/MOL)",303
"SELUMETINIB:GDC-0941 (4:1 MOL/MOL)",163
"YL54",130
"GSK2636771",362
"FQI-2",89
"GDC-0879",245
"NARCICLASINE",103
"BRD-A86708339",284
"PIFITHRIN-ALPHA",67
"SELUMETINIB:JQ-1 (4:1 MOL/MOL)",323
"SNX-2112:BORTEZOMIB (250:1 MOL/MOL)",135
"JQ-1:NAVITOCLAX (2:1 MOL/MOL)",169
"NECROSTATIN-7",254
"3-CL-AHPC",170
"CAY10618",324
"JQ-1:CARBOPLATIN (1:1 MOL/MOL)",115
"IMPORTAZOLE",256
"PLX-4720",268
"MITOMYCIN",47
"CD-437",137
"NAVITOCLAX:PLX-4032 (1:1 MOL/MOL)",77
"SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL)",225
"CUCURBITACIN I",190
"SELUMETINIB:MK-2206 (8:1 MOL/MOL)",248
"NICLOSAMIDE",138
"XL765",341
"MDIVI-1",371
"OBATOCLAX",220
"ETOPOSIDE",252
"JQ-1:MK-0752 (1:1 MOL/MOL)",319
"BRD-A02303741:NAVITOCLAX (2:1 MOL/MOL)",157
"GANT-61",131
"BLEOMYCIN A2",310
"STF-31",221
"SILMITASERTIB",391
"RITA",70
"PF-3758309",192
"PITSTOP2",253
"MST-312",292
"FUMONISIN B1",113
"ERLOTINIB:PLX-4032 (2:1 MOL/MOL)",68
"DECITABINE:CARBOPLATIN (1:1 MOL/MOL)",322
"VU0155056",334
"ALISERTIB",304
"YK 4-279",151
"SERDEMETAN:SCH-529074 (1:1 MOL/MOL)",164
"NAVITOCLAX:MST-312 (1:1 MOL/MOL)",102
"DACARBAZINE",181
"CRIZOTINIB:PLX-4032 (2:1 MOL/MOL)",85
"ENTINOSTAT",325
"PL-DI",351
"ISOX:BORTEZOMIB (250:1 MOL/MOL)",173
"I-BET151",264
"BRD-K63431240",295
"OSI-027",297
"VAF-347",274
"BRD-K51831558",320
"BRD-K70511574",108
"GDC-0941",309
"CYTOCHALASIN B",286
"LY-2183240",243
"GSK525762A",312
"KPT185",379
"KU-0063794",399
"VER-155008",321
"ML258",267
"UNC0638:NAVITOCLAX (1:1 MOL/MOL)",294
"HC-067047",275
"CICLOPIROX",125
"BRD1812",241
"BELINOSTAT",246
"BMS-754807",290
"NAVITOCLAX:SORAFENIB (1:1 MOL/MOL)",308
"PIPERLONGUMINE:MST-312 (1:1 MOL/MOL)",266
"ZEBULARINE",132
"DECITABINE:NAVITOCLAX (2:1 MOL/MOL)",336
"CARBOPLATIN:ETOPOSIDE (40:17 MOL/MOL)",210
"TANDUTINIB",174
"ERLOTINIB",280
"TPCA-1",215
"NVP-231",153
"WZ4002",345
"NVP-TAE684",143
"FORETINIB",406
"FLUVASTATIN",206
"SCH-529074",273
"COL-3",106
"HBX-41108",326
"NVP-ADW742",327
"FLUOROURACIL",242
"R428",299
"BMS-536924",217
"CEDIRANIB",425
"PAC-1",182
"BEXAROTENE",372
"BRD-K19103580",155
"GSK1059615",317
"GEFITINIB",378
"SRT-1720",424
"CHIR-99021",278
"BRD-K66453893",111
"BRD-K94991378",373
"AFATINIB",335
"CRIZOTINIB",357
"LINSITINIB",400
"PHA-793887",348
"ML311",359
"PF-184",343
"APICIDIN",388
"IPR-456",42
"BOSUTINIB",239
"BRD-K41597374",370
"VORAPAXAR",392
"PIPERLONGUMINE",282
"SB-225002",244
"BMS-345541",385
"VORINOSTAT",298
"PIFITHRIN-MU",314
"PYRAZOLANTHRONE",283
"BRD-K64610608",218
"ISOX",306
"PROCHLORPERAZINE",281
"NAVITOCLAX:PIPERLONGUMINE (1:1 MOL/MOL)",96
"BRD-K71935468",165
"NECROSULFONAMIDE",311
"BRD-K29313308",315
"SB-525334",301
"COMPOUND 23 CITRATE",332
"KU 0060648",233
"UNC0638",211
"LOVASTATIN",333
"NERATINIB",265
"BIX-01294",257
"TIVOZANIB",258
"NSC632839",228
"JQ-1:VORINOSTAT (2:1 MOL/MOL)",410
"FINGOLIMOD",369
"CERANIB-2",291
"BRD-K45681478",420
"PEVONEDISTAT",358
"CHM-1",271
"JQ-1:UNC0638 (2:1 MOL/MOL)",360
"AZD7545",350
"DBEQ",160
"MK-2206",249
"GOSSYPOL",222
"NVP-BSK805",272
"BRD-K92856060",285
"SALERMIDE:PLX-4032 (12:1 MOL/MOL)",342
"VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL)",328
"WP1130",139
"CAY10594",426
"OLAPARIB",409
"HLI 373",366
"TG-101348",293
"TACEDINALINE",414
"SERDEMETAN",421
"AVICIN D",347
"TRIFLUOPERAZINE",377
"TW-37",381
"PARTHENOLIDE",120
"BAX CHANNEL BLOCKER",419
"TIVANTINIB",175
"MOMELOTINIB",209
"PF-750",302
"ETP-46464",415
"CCT036477",199
"AA-COCF3",229
"AT7867",287
"LRRK2-IN-1",427
"PIK-93",331
"GSK-3 INHIBITOR IX",193
"PF-573228",197
"NEURONAL DIFFERENTIATION INDUCER III",201
"CURCUMIN",407
"DASATINIB",214
"AXITINIB",374
"NSC95397",238
"MERCK60",184
"ML029",172
"DEXAMETHASONE",353
"LAPATINIB",262
"ML162",354
"METHYLSTAT",337
"SID 26681509",107
"STEMREGENIN 1",365
"LINIFANIB",429
"SUNITINIB",62
"BRD-K51490254",382
"BARASERTIB",255
"BRD-K61166597",352
"MGCD-265",344
"BRIVANIB",230
"IBRUTINIB",423
"BRD-K02251932",389
"O-6-BENZYLGUANINE",260
"BRD-K97651142",404
"MASITINIB",375
"KW-2449",318
"TOSEDOSTAT",416
"CARBOPLATIN:UNC0638 (2:1 MOL/MOL)",356
"ELOCALCITOL",396
"AZD6482",387
"NSC48300",145
"LOMEGUATRIB",397
"VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL)",432
"BRD-K34222889",270
"LE-135",81
"CERULENIN",313
"GW-405833",395
"PAZOPANIB",349
"TG-100-115",355
"KU-55933",279
"INDISULAM",403
"SARACATINIB",167
"CARBOPLATIN",390
"BRD-M00053801",156
"SOTRASTAURIN",422
"IMATINIB",384
"BRD9647",401
"BRD-K13999467",405
"BRD-K88742110",412
"PDMP",393
"WZ8040",141
"SKEPINONE-L",338
"KU-60019",316
"PX-12",413
"BRD-K26531177",288
"NUTLIN-3",363
"ML239",307
"BRD-K35604418",430
"AVRAINVILLAMIDE",300
"BYL-719",129
"BRD-K24690302",234
"BRD-K14844214",402
"BRD-K80183349",428
"BRD1835",198
"ML203",435
"CAL-101",247
"RG-108",408
"CHLORAMBUCIL",93
"EPIGALLOCATECHIN-3-MONOGALLATE",434
"ETOMOXIR",296
"AZD1480",368
"ML050",398
"KO-143",183
"NSC23766",383
"N9-ISOPROPYLOLOMOUCINE",162
"SKI-II",305
"VALDECOXIB",394
"TGX-221",213
"A-804598",180
"PHLORETIN",146
"NECROSTATIN-1",110
"SILDENAFIL",232
"PURMORPHAMINE",80
"EX-527",417
"TRETINOIN",86
"BETULINIC ACID",223
"TAMOXIFEN",128
"ERASTIN",126
"B02",376
"BRD-K66532283",119
"ABT-737",380
"OLIGOMYCIN A",346
"AUSTOCYSTIN D",226
"SJ-172550",411
"TIPIFARNIB-P1",236
"BIBR-1532",339
"BRD8958",91
"BRD-K04800985",185
"BRD-K55116708",418
"1S,3R-RSL-3",56
"SALERMIDE",73
"REGORAFENIB",87
"ML334 DIASTEREOMER",19
"SPAUTIN-1",158
"ML320",261
"CH-55",17
"BMS-195614",202
"BMS-270394",340
"WAY-362450",212
"BRD-K03536150",122
"MLN2480",147
"MI-2",191
